rank,name,year
14,"University of California, Los Angeles",2017
15,UCL,2017
16,Columbia University,2017
17,Johns Hopkins University,2017
18,Duke University,2017
19,Cornell University,2017
20,Northwestern University,2017
21,University of Michigan-Ann Arbor,2017
22,University of Toronto,2017
23,Carnegie Mellon University,2017
24,National University of Singapore,2017
25,London School of Economics and Political Science,2017
25,University of Washington,2017
27,University of Edinburgh,2017
28,Karolinska Institute,2017
29,Peking University,2017
30,LMU Munich,2017
30,École Polytechnique Fédérale de Lausanne,2017
32,New York University,2017
33,Georgia Institute of Technology,2017
33,University of Melbourne,2017
35,Tsinghua University,2017
36,University of British Columbia,2017
36,University of Illinois at Urbana-Champaign,2017
36,King’s College London,2017
39,The University of Tokyo,2017
40,KU Leuven,2017
41,"University of California, San Diego",2017
42,McGill University,2017
43,Universität Heidelberg,2017
43,University of Hong Kong,2017
45,University of Wisconsin-Madison,2017
46,Technical University of Munich,2017
47,Australian National University,2017
48,"University of California, Santa Barbara",2017
49,The Hong Kong University of Science and Technology,2017
50,University of Texas at Austin,2017
51,Brown University,2017
51,"University of California, Davis",2017
53,University of Minnesota,2017
54,"Nanyang Technological University, Singapore",2017
55,University of Manchester,2017
56,University of North Carolina at Chapel Hill,2017
57,Humboldt University of Berlin,2017
57,Washington University in St Louis,2017
59,Delft University of Technology,2017
60,The University of Queensland,2017
60,University of Southern California,2017
60,The University of Sydney,2017
63,University of Amsterdam,2017
64,Boston University,2017
65,Wageningen University & Research,2017
66,École Normale Supérieure,2017
67,"University of Maryland, College Park",2017
68,Penn State (Main campus),2017
69,Erasmus University Rotterdam,2017
70,Purdue University West Lafayette,2017
71,University of Bristol,2017
72,Ohio State University (Main campus),2017
72,Seoul National University,2017
74,Monash University,2017
75,Free University of Berlin,2017
76,Chinese University of Hong Kong,2017
77,Leiden University,2017
78,UNSW Sydney,2017
78,RWTH Aachen University,2017
80,University of Groningen,2017
80,University of Pittsburgh-Pittsburgh campus,2017
82,Dartmouth College,2017
82,Emory University,2017
82,Technical University of Berlin,2017
82,University of Warwick,2017
86,Utrecht University,2017
87,Rice University,2017
88,University of Glasgow,2017
89,Korea Advanced Institute of Science and Technology (KAIST),2017
89,University of Tübingen,2017
91,University of Helsinki,2017
91,Kyoto University,2017
93,Uppsala University,2017
94,Maastricht University,2017
95,University of Freiburg,2017
96,Durham University,2017
96,Lund University,2017
98,Aarhus University,2017
98,University of Basel,2017
98,"University of California, Irvine",2017
101,Michigan State University,2017
102,University of Mannheim,2017
103,University of Montreal,2017
104,Georgetown University,2017
104,Pohang University of Science and Technology (POSTECH),2017
106,University of Zurich,2017
107,University of Alberta,2017
108,Vanderbilt University,2017
109,University of Sheffield,2017
110,University of Bern,2017
110,University of St Andrews,2017
112,University of Göttingen,2017
113,University of Bonn,2017
113,McMaster University,2017
113,Queen Mary University of London,2017
116,University of Colorado Boulder,2017
116,École Polytechnique,2017
118,Ghent University,2017
119,City University of Hong Kong,2017
120,University of Copenhagen,2017
121,Pierre and Marie Curie University,2017
121,Radboud University Nijmegen,2017
121,University of Southampton,2017
121,University of Virginia (Main campus),2017
125,The University of Western Australia,2017
126,Case Western Reserve University,2017
126,University of Exeter,2017
128,Université Catholique de Louvain,2017
129,University of York,2017
130,University of Birmingham,2017
131,Arizona State University (Tempe),2017
131,Trinity College Dublin,2017
132,University of Oslo,2017
133,University of Leeds,2017
134,University of Florida,2017
135,Tufts University,2017
135,Ulm University,2017
137,University of Geneva,2017
137,Lancaster University,2017
137,Scuola Normale Superiore di Pisa,2017
137,Sungkyunkwan University (SKKU),2017
141,Rutgers University – New Brunswick,2017
142,University of Adelaide,2017
143,University of Notre Dame,2017
144,Karlsruhe Institute of Technology,2017
144,Stockholm University,2017
146,"University of California, Santa Cruz",2017
147,University of Nottingham,2017
148,University of Cape Town,2017
149,University of Sussex,2017
150,Indiana University,2017
151,University of Lausanne,2017
151,University of Rochester,2017
153,University of Science and Technology of China,2017
153,University of Twente,2017
155,Fudan University,2017
156,University of Arizona,2017
156,Vrije Universiteit Amsterdam,2017
158,University of Liverpool,2017
159,KTH Royal Institute of Technology,2017
160,University of Erlangen-Nuremberg,2017
161,University of Münster,2017
161,University of Vienna,2017
163,Autonomous University of Barcelona,2017
